Exercise_Name,Base_Lift,exercise_id
Broad Jumps,Cardio_Core,431
Broomstick Twist,Cardio_Core,432
Bulgarian Dip,Best3BenchKg,433
Bulgarian Smith Squat,Best3SquatKg,434
"Bulgarian Split Squat (12,10,8,6,4/Per Leg)",Best3SquatKg,435
Bulgarian Split Squat (Barbell),Best3SquatKg,436
Bulgarian Split Squat (Bodyweight),Best3SquatKg,437
Bulgarian Split Squat (Dumbbell),Best3SquatKg,438
Bulgarian Split Squat (Smith Machine),Best3SquatKg,439
Bulgarian Split Squat Smith Machine,Best3SquatKg,440
Bulgarian split squat,Best3SquatKg,441
Bulgarien Split Sqauts,Best3SquatKg,442
Bulgarien Split Squats,Best3SquatKg,443
Bulldozer Fly,Best3BenchKg,444
Burpee,Cardio_Core,445
Burpee (No Push Up),Best3BenchKg,446
Burpee Broad Jumps,Cardio_Core,447
Burpee-Pullups,Best3DeadliftKg,448
Bus Driver,Cardio_Core,449
Butt Blaster,Cardio_Core,450
Butt Kick Run 10 Yrds,Cardio_Core,451
Butt Kicks,Cardio_Core,452
Butterfly DB,Best3BenchKg,453
Butterfly Maschine,Best3DeadliftKg,454
Butterfly Reverse,Best3BenchKg,455
Butterfly Stretch,Cardio_Core,456
C Drill,Cardio_Core,457
CHEST EXPANDER,Best3BenchKg,458
Cable Abductor (Outside) Riase (Cable),Best3DeadliftKg,459
Cable Adductor (Inside) Raise (Cable),Best3BenchKg,460
Cable Angel Progression,Best3DeadliftKg,461
Cable Axe Chop,Best3DeadliftKg,462
Cable Chest Press,Best3BenchKg,463
Cable Cross Body Lateral Raise,Best3DeadliftKg,464
Cable Cross Tricep Pushdown,Best3BenchKg,465
Cable Cross-Body Lat Pull-Arounds,Best3DeadliftKg,466
Cable Crossed Tricep Extension,Best3BenchKg,467
Cable Crossover,Best3BenchKg,468
Cable Crunch,Cardio_Core,469
Cable Flexion Row,Best3DeadliftKg,470
Cable Forearm Curl,Best3DeadliftKg,471
Cable Forearm Shit,Best3DeadliftKg,472
Cable Hip Abduction,Best3SquatKg,473
Cable Incline Curl,Best3DeadliftKg,474
Cable Incline Fly,Best3BenchKg,475
Cable Incline Wrist Curls,Best3DeadliftKg,476
